text,labels
cancel alarm. olly tweet a message to a. t. & t. and tell them my service is bad. do you have any suggestion action movies. facebook current stock rate,"['alarm_remove', 'social_post', 'recommendation_movies', 'qa_stock']"
what is the nearest pizza shop. what is the funniest joke ever. alert me when registration opens. how we can get credit,"['recommendation_locations', 'general_joke', 'calendar_set', 'email_sendemail']"
turn off the lights in the bathroom. what kinds of sunglasses are considered aviators. turn the vibrate off from speaker,"['iot_hue_lightoff', 'qa_factoid', 'audio_volume_mute']"
do you know jessica snout's phone number,['qa_factoid']
show latest email. how the to do list for today,"['email_query', 'lists_query']"
alert me at the time of the event,['calendar_set']
where is the nearest gas station,['recommendation_locations']
tell me how are the results of assembly elections in delhi going to come out. what new email says,"['news_query', 'email_query']"
features of google pixel. what is the deepest point on earth,"['general_quirky', 'qa_factoid']"
add event for meeting with james. my party planning,"['calendar_set', 'calendar_query']"
open songs from major lazer,['play_music']
make the lights pink,['iot_hue_lightchange']
set lunch every day at twelve thirty. turn the smart plug on,"['calendar_set', 'iot_wemo_on']"
are you working for the n. s. a.. what going on. best paid jobs in digital marketing in my area,"['general_quirky', 'social_query', 'general_quirky']"
play any song by joe prsaise. change the lights to dim. iphone seven description. tell comcast i hate them,"['play_music', 'iot_hue_lightdim', 'qa_definition', 'social_post']"
ok google where does sophia vergara live. set the speakers to mute,"['qa_factoid', 'audio_volume_mute']"
tell me all the current events in my hometown,['recommendation_events']
what's the capital of kazakhstan. send an alert before meeting,"['qa_factoid', 'calendar_set']"
remove the guest list i created last week. what is the news from that newsource,"['lists_remove', 'news_query']"
read me the latest headlines from nytimescom,['news_query']
emails in the last ten minutes. summarize week's weather details,"['email_query', 'weather_query']"
send an email to my assistant clara to cancel all appointments for tomorrow,['email_sendemail']
please tweet on dell service for delay services. call city cab to airport. how is the weather in san francisco. can you please order some food for me,"['social_post', 'transport_taxi', 'weather_query', 'takeaway_order']"
what kinds of sunglasses are considered aviators. play,"['qa_factoid', 'play_radio']"
add this email address to my contacts and send an email to,['email_addcontact']
where do most celebrities hang out. please rate current song as five stars,"['qa_factoid', 'music_likeness']"
did i tell you to remind me something,['calendar_query']
send a reply if it is very important. what's leon's email,"['email_query', 'email_querycontact']"
i need a cup of coffee. where is a walking trail near me. what are today's sports news,"['iot_coffee', 'recommendation_locations', 'news_query']"
what is the time now in new york. alert me when registration opens. can you play me a rap song on the radio,"['datetime_query', 'calendar_set', 'play_radio']"
topic,['email_query']
show me the dim color. what day of the week does the fifteenth of march fall on,"['iot_hue_lightdim', 'datetime_query']"
alert me when registration opens. i'd like to know what time it is right now,"['calendar_set', 'datetime_query']"
make it red in here. how long should i cook a steak to be medium,"['iot_hue_lightchange', 'cooking_recipe']"
what ingredients do i need to bake a large cake. book a cab to office for me. play the latest rock songs having rating of four or above. hey olly i like music by sigur ros,"['cooking_recipe', 'transport_taxi', 'play_music', 'music_likeness']"
show me the latest news from the un,['news_query']
did angelina jolie leave brad pitt. google train tickets to washington d. c.. i like this song please save,"['qa_factoid', 'transport_ticket', 'music_likeness']"
is it going to rain at one p. m. today,['weather_query']
give me a cooking tutorial. play the song title. what color are chairs,"['cooking_recipe', 'play_music', 'qa_factoid']"
delete the alarm i just set. hey olly can you please make me a creamy coffee. turn up the volume on my speakers,"['alarm_remove', 'iot_coffee', 'audio_volume_up']"
play videos,['general_quirky']
speaker volume increase. launch super mario,"['audio_volume_up', 'play_game']"
olly what events are happening in pondichery this weekend,['recommendation_events']
resume harry potter from the place i have stopped listening to last time,['play_audiobook']
turn the lights off,['iot_hue_lightoff']
i want to see all set alarms. please play only sad song in music player,"['alarm_query', 'play_music']"
check most current emails. i need a meeting to be schedule with this person,"['email_query', 'calendar_set']"
email my appointments to reschedule,['email_sendemail']
when was the bolshoi theater constructed,['qa_factoid']
show me my meeting for the next month,['calendar_query']
will it rain tomorrow. how would you describe a happy birthday. what is the weather condition in new york. turn off the lights in the kitchen,"['weather_query', 'qa_definition', 'weather_query', 'iot_hue_lightoff']"
adjust the lights to a lower setting please. i need to change my house lights color to blue. what is googs current price,"['iot_hue_lightdim', 'iot_hue_lightchange', 'qa_stock']"
set repeating reminder for every sunday. my vacuum cleaner should start between ten to eleven am everyday. please play the latest song from the album abbas,"['calendar_set', 'iot_cleaning', 'play_music']"
brighten the lights. what is the wake up time for my alarm i have set for the flight this weekend. how is the new movie swat,"['iot_hue_lightup', 'alarm_query', 'recommendation_movies']"
tweet a complaint for the online bookstore. put this event in a repeating pattern on my calendar. tell me what i wore yesterday. please check email contain job listing,"['social_post', 'calendar_set', 'general_quirky', 'email_query']"
i want to order chinese take-out. summarize week's weather details. cancel dinner tonight,"['takeaway_order', 'weather_query', 'calendar_remove']"
i can't see turn up the lights,['iot_hue_lightup']
how many tornadoes have there been this month. make the bedroom lights red and the hall lights normal color please,"['general_quirky', 'iot_hue_lightchange']"
add a new email for julie smith. describe hell. will trump visit russia anytime soon,"['email_sendemail', 'qa_definition', 'news_query']"
call me a taxi olly,['transport_taxi']
what will the weather be tomorrow,['weather_query']
please reserve the next taxi a nine am,['transport_taxi']
send a complaint tweet. how long will my lunch meeting be on tuesday. what is the exchange rate between us and mexico,"['social_post', 'calendar_query', 'qa_currency']"
what is scheduled on my calendar today. what's in my inbox since we last looked,"['calendar_query', 'email_query']"
check emails,['email_query']
in how many hours will it be midnight in london england,['datetime_query']
train ticket. does allearsnet have a new podcast. tell me billy crytals address,"['transport_ticket', 'play_podcasts', 'qa_factoid']"
please let me know the dog shows events going on in my home town,['recommendation_events']
how old are you. what kinds of sunglasses are considered aviators. i would like to know the best rating pubs in the local area,"['general_quirky', 'qa_factoid', 'recommendation_locations']"
play track one from my david bowie playlist,['play_music']
clean my house,['iot_cleaning']
remove that item,['lists_remove']
what's the weather in portland. research the clients that will attend the meeting. please play a song by bruno mars. tell me about mary s.,"['weather_query', 'calendar_set', 'play_music', 'email_querycontact']"
move on to the next podcast episode. google what are the basic things humans need,"['play_podcasts', 'general_quirky']"
i hate how long the traffic jams get,['general_quirky']
could you please email john saying i'm on leave. what is the latest story from fox news. what's the capital of kazakhstan,"['email_sendemail', 'news_query', 'qa_factoid']"
cancel my seven am alarm,['alarm_remove']
search for podcasts that cover men's issues. are there any upcoming concerts by. show me a video on cooking fried chicken,"['play_podcasts', 'music_likeness', 'cooking_recipe']"
don't make any sounds. how can you get basalt. delete the first item on the list. shut down the sound,"['audio_volume_mute', 'general_quirky', 'lists_remove', 'audio_volume_mute']"
play the second song from anirudh's song. i need you to get me up at six am. who is doing facebook live right now,"['play_music', 'alarm_set', 'social_query']"
what is the weather going to be like on march twentieth two thousand and seventeen. give me more light,"['weather_query', 'iot_hue_lightup']"
when will my chinese food be delivered. tell me about the new foreign policy of trump,"['takeaway_query', 'news_query']"
set lights brightness higher. i would like a cheeseburger. olly what are new drama movies opening this weekend. i need some rap,"['iot_hue_lightup', 'cooking_recipe', 'recommendation_movies', 'play_music']"
clean the floor. what is on my to do list today,"['iot_cleaning', 'lists_query']"
slow down the speaker volume,['audio_volume_down']
tell me something i can do to help my community today. please give me todays forecast for new york city. play music from my rock list. tweet at,"['general_quirky', 'weather_query', 'play_music', 'social_post']"
add podcast favorites to playlist and start. let's cook meatballs together. turn off the alarm. i love this song,"['play_podcasts', 'cooking_recipe', 'alarm_remove', 'music_likeness']"
tell me what the product of eighteen and thirty one is. are you real,"['qa_maths', 'general_quirky']"
hello i want to turn off my wemo plug. how do i get to the mall. make a new alarm. read me the latest international news,"['iot_wemo_off', 'transport_query', 'alarm_set', 'news_query']"
what does celebrity do,['qa_factoid']
email mom and ask how the weather is there,['email_sendemail']
recipe please. if a pencil cost four dollars and a book ten dollars cost how much i should pay if i buy two pencil and three book,"['cooking_recipe', 'qa_maths']"
do i have any new emails in my inbox today,['email_query']
add an alarm for tomorrow morning at six am. when was the bolshoi theater constructed. olly tell me my alarms,"['alarm_set', 'qa_factoid', 'alarm_query']"
read list of new emails. what else is missing in the diary,"['email_query', 'lists_query']"
i occasionally pay attention,['weather_query']
start radio channel eight hundred and eighty nine,['play_radio']
front page news articles please,['news_query']
mute for one hour. olly i'm looking for some dress shows can you find clothing stores within one mile. weekly weather report,"['audio_volume_mute', 'recommendation_locations', 'weather_query']"
how much is one american dollars worth in england. california,"['qa_currency', 'transport_query']"
play lady by kenny roger. title of song. play next episode of podcast. tell me the largest ocean in the world,"['play_music', 'music_query', 'play_podcasts', 'qa_factoid']"
tell me how are the results of assembly elections in delhi going to come out. tell me how to make a poor boy sandwich. turn on the radio and play channel one hundred and six point nine,"['news_query', 'cooking_recipe', 'play_radio']"
current time in japan. what do i have planned for this week. send a reply to mike with the answer four hundred and thirty from his email he sent this morning. what is the email address for tessa,"['datetime_query', 'calendar_query', 'email_sendemail', 'email_querycontact']"
what is the fastest way to get to starbucks,['transport_query']
have i gotten any new email. please book a ticket of rajdhani express train from jaipur. how many lists do i have. what alarms did i set,"['email_query', 'transport_ticket', 'lists_query', 'alarm_query']"
add the post office to my list of errands for saturday. am i free at four p. m.,"['lists_createoradd', 'calendar_query']"
get me the local train timing to destination cstm,['transport_query']
remind me to pick up mark at the airport at six p. m.. show weather,"['calendar_set', 'weather_query']"
any mail from amazon today,['email_query']
hey olly cancel all my other meetings and calls for second march as it is jim's birthday tag it as an event in your calendar,['calendar_set']
remove my car payment on my calendar. make a new shopping list,"['lists_remove', 'lists_createoradd']"
what's was the upcoming event. turn the plug off,"['calendar_query', 'iot_wemo_off']"
please check for recent emailstudy from this sender. set notifications on the current weather disasters in america,"['email_query', 'calendar_set']"
what kind of weather should i expect this week. make the room light blue,"['weather_query', 'iot_hue_lightchange']"
show me events in sacramento. i want the smart socket off now. lower the speaker volume,"['recommendation_events', 'iot_wemo_off', 'audio_volume_down']"
can i get a recipe for tuna. create email to yulia. alexa change the radio station,"['cooking_recipe', 'email_sendemail', 'play_radio']"
check unread emails from amy,['email_query']
delete all the events in my calendar. hey olly i met one of my old classmates today. please book me a taxi uber,"['calendar_remove', 'general_quirky', 'transport_taxi']"
play any pop f. m. channel. has cassie sent me any emails about tom. book a ticket to ny by train. tell me where steve jobs was born,"['play_radio', 'email_query', 'transport_ticket', 'qa_factoid']"
read me the latest international news,['news_query']
tweet to apple about non receipt of iphone i sent for repairs last week,['social_post']
start podcasts on n. f. l.. what time is my doctor appointment on march thirty first. give me an update on the election in one hour. what day is the fifth,"['play_podcasts', 'calendar_query', 'calendar_set', 'datetime_query']"
slow down the speaker volume,['audio_volume_down']
list all train times to ny. the second of next mont lands on what day. what is new news for today,"['transport_query', 'datetime_query', 'news_query']"
tell me about india location,['qa_factoid']
set environmental news notification. email karen about the budget meeting,"['news_query', 'email_sendemail']"
how many plays has patrick stewart been in. what is going on today from two four p. m.,"['qa_factoid', 'calendar_query']"
add shopping to my calendar for tomorrow. is there takeaway at papa john's. i wish to know the weather in san fransico,"['calendar_set', 'takeaway_query', 'weather_query']"
please modify my calendar with this event. divide seventy six in two parts. history,"['calendar_set', 'qa_maths', 'general_quirky']"
i need to set reminder on fifteenth march,['calendar_set']
please go to the next episode of the podcast. tell me the local events. what's in the news,"['play_podcasts', 'recommendation_events', 'news_query']"
what is the difference between bake and broil. what is the time in another city. remove pencil from stationary. book a first class ticket in the next train to miami,"['cooking_recipe', 'datetime_query', 'lists_remove', 'transport_ticket']"
cancel the breakfast at tiffany's house. light color for study room,"['calendar_remove', 'iot_hue_lightup']"
what alarms did i set,['alarm_query']
when does the f. train run today. what is the date next wednesday. i occasionally pay attention,"['transport_query', 'datetime_query', 'weather_query']"
hey google play some jazz music for me,['play_music']
nobody knows. notify me when g. b. p. to u. s. d. rate as i expected. what time are the trains going to chennai leaving,"['play_music', 'qa_currency', 'transport_query']"
convert eight am manila time to new york time,['datetime_convert']
has amy sent me any new emails,['email_query']
what news has happened on c. n. n. today. what day of the week is the twenty third of this month. is there anything i should be reminded about,"['news_query', 'datetime_query', 'calendar_query']"
which contact haven't i called in twelve months,['email_querycontact']
play my midnight love playlist. remind me to something in sometime,"['play_music', 'calendar_set']"
ok google where does sophia vergara live. clear my next activity,"['qa_factoid', 'calendar_remove']"
up load all my podcast,['play_podcasts']
hey send a meeting invite to mr. ross for this friday's meeting and block my calendar for friday afternoon,['calendar_set']
just idle chit chat,['general_quirky']
weather report now. how much is one american dollars worth in england. turn the light off in the living room. the event will include walter and gemma,"['weather_query', 'qa_currency', 'iot_hue_lightoff', 'calendar_set']"
do i have any new emails from kellogg,['email_query']
add new item to list,['lists_createoradd']
do i need a sweater today. alarm ten am,"['weather_query', 'alarm_set']"
can you tell me about animal kingdom in amazon forest,['general_quirky']
who won the presidential election this year,['qa_factoid']
tweet that product sucks. instructions to make a meal. play lady by kenny roger,"['social_post', 'cooking_recipe', 'play_music']"
play sleepyhead by passion pit. can you please stop speaking,"['play_music', 'audio_volume_mute']"
delete it. give me some good sounds,"['calendar_remove', 'play_music']"
remove anniversary event from my calendar. initialize the robot vacuum,"['calendar_remove', 'iot_cleaning']"
his hardword is properly quead. remove birthday from calendar,"['general_quirky', 'calendar_remove']"
i will need warm socks in winter in morning,['weather_query']
can you tell me the latest news,['news_query']
can you play my favorite audio book of tarzan. what ingredients do i need to bake a large cake. when does the f. train run today,"['play_audiobook', 'cooking_recipe', 'transport_query']"
is there a meeting on my calendar this afternoon,['calendar_query']
what's ten percent off forty dollars. please start the coffee pot. i'd like you to turn turn on the t. v.,"['qa_maths', 'iot_coffee', 'iot_wemo_on']"
what is the time in beijing,['datetime_query']
i occasionally pay attention. hey what is the weather like today. what's happening in the news,"['weather_query', 'weather_query', 'news_query']"
please alert me to the time. i like this song please save. when can we eat,"['datetime_query', 'music_likeness', 'takeaway_query']"
remind me tomorrow at ten am about the meeting,['calendar_set']
clear my calendar all events,['calendar_remove']
i need an email to be sent to comcastcom about my service issues,['email_sendemail']
go on sweet talk me. i need next week's lunch put on the calendar,"['general_quirky', 'calendar_set']"
what are some theme parks nearby. inform me on the items on the list,"['recommendation_events', 'lists_query']"
what are the climatic conditions in that area. please turn the volume down,"['qa_factoid', 'audio_volume_down']"
did i set an alarm to have tablets in the noon. order pizza for delivery,"['alarm_query', 'takeaway_order']"
do i have any new email from joe. what movies has emma watson acted in. meetings from twenty to twenty five june,"['email_query', 'qa_factoid', 'calendar_query']"
remind me that i have a birthday party on the thirtieth,['calendar_set']
turn the living room's light off. what is the exchange rate with in one british pound,"['iot_hue_lightoff', 'qa_currency']"
play my most watched podcast. send john smith and email. do i need a jacket,"['play_podcasts', 'email_sendemail', 'weather_query']"
play audiobook of planets,['play_audiobook']
remind upcoming meeting with eminem. play my playlist starting from the bottom,"['calendar_set', 'play_music']"
play f. m.,['play_radio']
let's tweet a complaint,['social_post']
replay my last played podcast. what is the latest update on the new york bridge proposal,"['play_podcasts', 'news_query']"
find me a chocolate cake recipe. news articles on a particular subject. start playlist. best rap music,"['cooking_recipe', 'news_query', 'play_music', 'play_music']"
send a tweet about sonys volume issues. what store is having sales tomorrow,"['social_post', 'general_quirky']"
fast,['audio_volume_up']
email mom and ask how the weather is there. is it twentieth march today. remove shopping list. i want to do laundry at eight p. m. create reminder,"['email_sendemail', 'datetime_query', 'lists_remove', 'calendar_set']"
what song is on the radio. web searches. s.,"['music_query', 'general_quirky', 'play_music']"
please raise the light i am not comfortable at this. how much would it cost to buy stock in apple. what days do i have booked. one plus two equal,"['iot_hue_lightup', 'qa_stock', 'calendar_query', 'qa_maths']"
hey has john sent me any email lately. how to make taco,"['email_query', 'cooking_recipe']"
show weather. i have a function at washington tomorrow remind it. play sleepyhead by passion pit,"['weather_query', 'calendar_set', 'play_music']"
play only my list,['play_music']
remove pencil from stationary,['lists_remove']
can you book an uber for me,['transport_taxi']
please tune nine hundred and thirty eight f. m. radio mirchi. open up and play music from my jogging playlist. how long does it take to make vegetable lasagna,"['play_radio', 'play_music', 'cooking_recipe']"
bring me the title of current music. tell me about mary s.,"['music_query', 'email_querycontact']"
open a reminder about next weeks managers meeting on tuesday. it's my mother's birthday today send me a notification every year on this date,"['calendar_set', 'calendar_set']"
start the next episode. can you change the volume at,"['play_podcasts', 'audio_volume_other']"
just let me know next weeks weather in california. open inbox to check unread mails. olly save all the songs i have listened to more than once,"['email_query', 'email_query', 'music_likeness']"
describe the heart stone card game,['qa_definition']
find a train ticket to philadelphia. let's play hits on the radio,"['transport_ticket', 'play_radio']"
hey what time is it in london now,['datetime_query']
what information should i know for my meetings today. make the radio turn on now. how many saturdays are in march,"['calendar_query', 'play_radio', 'datetime_query']"
list exchange rate information for the day for u. s. d. to jpy,['qa_currency']
yes or no tomorrow's temperature is to be hot. any special events on my list. play country radio. we should play nfs at high speed,"['weather_query', 'lists_query', 'play_radio', 'play_game']"
seven years,['play_music']
read my grocery list. please add sugar to my grocery list. remove the first alarm,"['lists_query', 'lists_createoradd', 'alarm_remove']"
a quarter to two. where i went today,"['datetime_query', 'general_quirky']"
play nineties hip hop,['play_music']
what are my pending tasks. does my company worker have a home phone number. i want to set an alarm when i'm driving home tomorrow to remember to stop at the store and get food,"['calendar_query', 'email_querycontact', 'alarm_set']"
i want to know more about the fair this weekend,['general_quirky']
what reminders did i set. what is on the agenda for the four p. m. meeting with joe,"['calendar_query', 'calendar_query']"
send email to tim at hotmail dot com,['email_sendemail']
is my alarm set,['alarm_query']
put on some led zeppelin. begin vacuuming,"['play_music', 'iot_cleaning']"
check for emails from my employer. please reduce the speaker volume,"['email_query', 'audio_volume_down']"
alexa please turn down the lights in the house. remind me to contact old friends that i have not talked with in six months before they pass. what does priyanka chopra do to look beautiful,"['iot_hue_lightdim', 'calendar_set', 'general_quirky']"
set an alarm for six thirty am. can we go to sun. what time is my domino's order expected to arrive. please create new list,"['alarm_set', 'general_quirky', 'takeaway_query', 'lists_createoradd']"
answer for three times four. set alarm of only monday morning six am,"['qa_maths', 'alarm_set']"
how many legs does a dog have,['qa_factoid']
what can i substitute butter with. turn my bedroom lights off. i want it to remember my preferences and recommend me things based on them when i ask,"['cooking_recipe', 'iot_hue_lightoff', 'general_quirky']"
is there anything happening on jazz scene around edinburgh. what is the yen worth,"['recommendation_events', 'qa_currency']"
check the dish price and all. that last email needs to be answer a. s. a. p.. put dark colors instead of light ones in the house. what i am going to do today,"['takeaway_query', 'email_sendemail', 'iot_hue_lightchange', 'lists_query']"
how to cook spaghetti squash,['cooking_recipe']
show weather. research the clients that will attend the meeting,"['weather_query', 'calendar_set']"
how is rice prepared,['cooking_recipe']
i would like to know the best rating pubs in the local area. how is the traffic at the moment. play my favorite book. is it ten,"['recommendation_locations', 'transport_traffic', 'play_audiobook', 'datetime_query']"
will it be rainy day tomorrow. definition of velocity. let's cook meatballs together,"['weather_query', 'qa_definition', 'cooking_recipe']"
what's the name of the piece you are playing. i want to know more about the fair this weekend,"['music_query', 'general_quirky']"
info of the upcoming events,['recommendation_events']
i want to thank everyone for the birthday wishes,['social_post']
book a train ticket from here to charleston west virginia at eight am today,['transport_ticket']
find the ways of travel for the same. play classic rock,"['transport_query', 'play_music']"
check if default alarm is set,['alarm_query']
show latest email. please play shake it off by taylor swiftm,"['email_query', 'play_music']"
the weather was bad today,['general_quirky']
please book a ticket of rajdhani express train from jaipur. get rid of all events with jeff,"['transport_ticket', 'calendar_remove']"
remove my car payment on my calendar. what degree is it outside,"['lists_remove', 'weather_query']"
please ring the wake up alarm at eight am next saturday,['alarm_set']
start my playlist on i heart radio. wake me at six am thursday so i have time for the meeting. remind me after ten minutes,"['play_radio', 'calendar_set', 'calendar_set']"
when is my brunch with jennifer,['calendar_query']
give me a reminder twenty four hours before my friday meeting with edg,['calendar_set']
send a reply to the last email. remind me my mom's birthday a week before. send this email to reply to the latest emails. remind me to call mom every tuesday at ten am,"['email_sendemail', 'calendar_set', 'email_sendemail', 'calendar_set']"
check to see if i have any new emails from my dad. delete all lists,"['email_query', 'lists_remove']"
olly play i can't feel my face. please load new email for bruce and send message now. what do i have planned for this week,"['play_music', 'email_sendemail', 'calendar_query']"
meeting reminders from three to five. what's my upcoming week look like. olly change the lighting to blue,"['calendar_query', 'calendar_query', 'iot_hue_lightchange']"
what music is currently playing on. playback tom clancy splinter cell. review all alarms. for how many years was abraham lincoln president of united states,"['music_query', 'play_audiobook', 'alarm_query', 'qa_factoid']"
do we have morgan's office's number. get me the local train timing to destination cstm. how much is one dollar in pounds,"['email_querycontact', 'transport_query', 'qa_currency']"
silence volume on speakers,['audio_volume_mute']
call yellow cab. quiet mode on until i am home from work. play a game with me,"['transport_taxi', 'audio_volume_mute', 'play_game']"
olly what time is it in this city. house lights blue. remind me on fifth march of every year to arrange wedding anniversary presents,"['datetime_query', 'iot_hue_lightchange', 'calendar_set']"
how do i reach sarah,['email_querycontact']
hey olly please tell me the name of this song that is currently playing. olly let's listen to hunt for read october. what is a caftan. let's go through all pending reminders,"['music_query', 'play_audiobook', 'qa_definition', 'calendar_query']"
on friday please put dentist appointment at three. house lights blue. how is traffic in city. what does situation mean,"['calendar_set', 'iot_hue_lightchange', 'transport_traffic', 'qa_definition']"
tweet to apple about non receipt of iphone i sent for repairs last week. my vacuum cleaner should start between ten to eleven am everyday. i need to order some food from papa john's,"['social_post', 'iot_cleaning', 'takeaway_order']"
bring me the title of current music. i've canceled the order placed at mcd did it go through. please scan the am dial on the radio right now. how long should i boil an egg,"['music_query', 'takeaway_query', 'play_radio', 'cooking_recipe']"
mark april twenty as my brother's birthday. what's the latest news from xinhua. what is the exchange rates in this region. what is the definition of subjegant,"['calendar_set', 'news_query', 'qa_currency', 'qa_definition']"
is this song ed sheeran,['music_query']
play youtube playlist blank,['play_music']
thirty minute reminder on meeting for tuesday,['calendar_set']
i went to the store. please stop talking. latest movies in theaters,"['general_quirky', 'audio_volume_mute', 'general_quirky']"
please give me information about john abraham lincon,['qa_factoid']
tell me if i have new emails. what did i tell susan in my last email,"['email_query', 'email_query']"
hey olly i met one of my old classmates today,['general_quirky']
hey olly i met one of my old classmates today. search to find current local time and time zone,"['general_quirky', 'datetime_query']"
play the oldies station. is it afternoon yet,"['play_radio', 'datetime_query']"
how do i set my coffee machine to make coffee. alexa give me the headline news,"['iot_coffee', 'news_query']"
what is eastern standard time right noe,['datetime_query']
do i have a date on friday,['calendar_query']
hoover the hallway. please tell me how to i bake twelve oatmeal cookies. open temperature. play a game with me,"['iot_cleaning', 'cooking_recipe', 'weather_query', 'play_game']"
what's the name of the piece you are playing. olly turn on the coffee machine to make me some coffee. can you book a train ticket. set feeling happy status on facebook,"['music_query', 'iot_coffee', 'transport_ticket', 'social_post']"
new event. please tell me what is the definition of cylinder. let's suck out the dust,"['calendar_set', 'qa_definition', 'iot_cleaning']"
when can we eat,['takeaway_query']
open spotify and open workout. play next reason podcast,"['play_radio', 'play_podcasts']"
give me the details on purchase order,['lists_query']
send email to jessica,['email_sendemail']
hey olly can you please make me a creamy coffee. mark today as the start of my diet. which type of music it is. is my schedule for july seventh completely open,"['iot_coffee', 'calendar_set', 'music_query', 'calendar_query']"
find exchange rate for u. s. d. to pound. play sleepyhead by passion pit,"['qa_currency', 'play_music']"
i will need warm socks in winter in morning,['weather_query']
start some music play the radio. what movie should i watch today,"['play_radio', 'recommendation_movies']"
play the latest rock songs having rating of four or above. play any song by joe prsaise,"['play_music', 'play_music']"
driving time to los angeles,['transport_query']
please set this date to repeat. when was the bolshoi theater constructed. song title. siri today is what date,"['calendar_set', 'qa_factoid', 'music_query', 'datetime_query']"
have i gotten any new email. search in the web for buying bakeware for muffins,"['email_query', 'cooking_recipe']"
are you happy,['general_quirky']
nice lyrics. set the speakers to mute,"['music_likeness', 'audio_volume_mute']"
next play justin bieber's sorry. shut off lights,"['play_music', 'iot_hue_lightoff']"
my set alarms. let me hear my list. find a description about a samsung t. v.,"['alarm_query', 'lists_query', 'qa_definition']"
has anyone commented on my status,['social_query']
check most current emails,['email_query']
describe the new football game rules. i need to talk to mom. tell me some best tourist places to visit in america. olly do i have an alarm set for tomorrow,"['general_quirky', 'general_quirky', 'recommendation_locations', 'alarm_query']"
how much is the dollar worth compared to the euro,['qa_currency']
add new item to list. comfort my ears with arijit singh. please play radio station one right now. remind me i take mom to the hairdresser's thursday at one thousand one hundred am,"['lists_createoradd', 'play_music', 'play_radio', 'calendar_set']"
what is the time in beijing. remove succeeding event. what is the commute time to the theater. check email about my job,"['datetime_query', 'calendar_remove', 'transport_query', 'email_query']"
create an email for my company worker with my recently saved documents. please set a notification on twenty third october about meeting with my colleague. are there any updates in regard to the election,"['email_sendemail', 'calendar_set', 'news_query']"
send a replay email. remind me to check the stew at six o'clock,"['email_sendemail', 'calendar_set']"
silently adjust. tweet something for me. have any emails come in since four hundred today. what sound does a dog make,"['audio_volume_mute', 'social_post', 'email_query', 'general_quirky']"
start next podcast. please remove remainder. what is the music playing right now,"['play_podcasts', 'calendar_remove', 'music_query']"
what time does the train to place leave. give me the latest updates. tell me more about my events. is there any rain in the forecast for the next week,"['transport_query', 'news_query', 'general_quirky', 'weather_query']"
olly get me the popular news from b. b. c.,['news_query']
what is the traffic like on my commute home at five,['transport_query']
what is the minimum temperature of london. go to the washington post website. knowledge about food processing,"['weather_query', 'news_query', 'cooking_recipe']"
check the dish price and all. crack a joke. remove pencil from stationary,"['takeaway_query', 'general_joke', 'lists_remove']"
set alarm at six thirty am,['alarm_set']
tell me if i have any unread new emails. how is it outside. show future events,"['email_query', 'weather_query', 'calendar_query']"
please create a new list for me. title of song. tweet a message to suqcom that i am still waiting for my delivery,"['lists_createoradd', 'music_query', 'social_post']"
please check my mail,['email_query']
i will need warm socks in winter in morning,['weather_query']
ok google play one hundred and six point seven,['play_radio']
play. where is the nearest walmart,"['play_radio', 'recommendation_locations']"
how much wood could a woodchuck chuck if a woodchuck could chuck wood,['general_quirky']
open twitter type my complaint and post to at consumer service. make the house lights amber at six p. m.,"['social_post', 'iot_hue_lightchange']"
tell me the recipe of,['cooking_recipe']
play a podcast from my library,['play_podcasts']
show b. b. c. news of migration. resume harry potter book four,"['news_query', 'play_audiobook']"
set lunch every day at twelve thirty. set list. play. siri please check exchange rates,"['calendar_set', 'lists_createoradd', 'play_radio', 'qa_currency']"
how's the weather today. turn the living room's light off,"['weather_query', 'iot_hue_lightoff']"
add tal meeting on twenty first at seven. searching information online,"['calendar_set', 'general_quirky']"
where can i go tonight,['recommendation_events']
i mostly pay attention,['weather_query']
add red wine to my shopping list. check my email for any new email from joe,"['lists_createoradd', 'email_query']"
change the lights to blue olly. olly tell me the time in g. m. t. plus five,"['iot_hue_lightchange', 'datetime_convert']"
could you please play this program for me. facebook,"['play_radio', 'social_query']"
android. set event date in calendar with others. is fongs dine in only. what's happening around the world,"['lists_query', 'calendar_set', 'takeaway_query', 'news_query']"
hey what time is it in london now. ok google where does sophia vergara live. delete item. tell me the weather this week,"['datetime_query', 'qa_factoid', 'lists_remove', 'weather_query']"
send an email to my assistant clara to cancel all appointments for tomorrow. are you smart. what time should i go for a hike. move to the next episode of hipsterhood,"['email_sendemail', 'general_quirky', 'weather_query', 'play_podcasts']"
explain quantum physics to me in language i understand. who are your developers. what store is having sales tomorrow. play the next one,"['general_quirky', 'general_quirky', 'general_quirky', 'play_podcasts']"
play game with me. what is the wake up time for my alarm i have set for the flight this weekend. can they provide takeaway. remind me to call mom every tuesday at ten am,"['play_game', 'alarm_query', 'takeaway_query', 'calendar_set']"
uber me to the airport. olly put dark colors instead of light ones in the house. reset my locations list,"['transport_taxi', 'iot_hue_lightchange', 'lists_remove']"
are there morning shows available. remove next monday's meeting. cook me some oats,"['calendar_query', 'calendar_remove', 'cooking_recipe']"
is it going to rain later. order a pizza with sausage from domino's,"['weather_query', 'takeaway_order']"
make it red in here. can you make dinner for me,"['iot_hue_lightchange', 'general_quirky']"
